,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Min Temperature,Wind Speed,City ID
0,Qaanaaq,0,GL,1579657133,48,77.48,-69.36,247.22,247.22,2.57,3831208
1,Rikitea,11,PF,1579657134,78,-23.12,-134.97,299.17,299.17,5.55,4030556
2,Bathsheba,40,BB,1579656595,74,13.22,-59.52,299.15,299.15,5.1,3374083
3,Saskylakh,15,RU,1579657134,95,71.92,114.08,236.82,236.82,2.95,2017155
4,Tahoua,0,NE,1579657134,13,14.89,5.27,295.15,295.15,7.2,2439376
5,Saint George's,20,GD,1579657135,83,12.06,-61.75,299.15,299.15,4.1,3579925
6,Mataura,70,NZ,1579657135,49,-46.19,168.86,298.68,298.68,1.68,6201424
7,Pasan,75,IN,1579657135,54,22.85,82.2,290.97,290.97,2.07,1260210
8,Fortuna,1,US,1579656536,76,40.6,-124.16,284.26,282.59,2.1,5563839
9,Cervo,100,ES,1579657136,1,43.67,-7.41,282.04,279.82,1.79,3125287
10,Leningradskiy,100,RU,1579656392,96,69.38,178.42,249.31,249.31,3.9,2123814
11,Juneau,90,US,1579657046,86,58.3,-134.42,274.15,274.15,1.12,5554072
12,Tautira,40,PF,1579656558,70,-17.73,-149.15,303.15,303.15,5.7,4033557
13,Ushuaia,40,AR,1579656941,75,-54.8,-68.3,281.15,281.15,12.3,3833367
14,Cidreira,100,BR,1579657137,77,-30.18,-50.21,296.97,296.97,10.96,3466165
15,Ancud,0,CL,1579657137,67,-41.87,-73.82,290.15,290.15,6.7,3899695
16,Saldanha,30,ZA,1579657137,77,-33.01,17.94,292.15,292.15,2.6,3361934
17,Hilo,40,US,1579657138,54,19.73,-155.09,300.15,290.93,6.2,5855927
18,Busselton,94,AU,1579657138,36,-33.65,115.33,295.37,289.26,6.6,2075265
19,Lavrentiya,100,RU,1579657138,96,65.58,-171.0,256.15,256.15,2.66,4031637
20,Hobart,100,AU,1579657138,30,-42.88,147.33,297.59,293.71,8.7,2163355
21,Jamestown,90,US,1579657139,85,42.1,-79.24,270.15,263.71,4.1,5122534
22,Tokur,100,RU,1579657139,94,53.13,132.9,252.94,252.94,1.04,2015217
23,Hermanus,98,ZA,1579657139,85,-34.42,19.23,292.59,292.59,3.58,3366880
24,Clyde River,99,CA,1579656855,76,70.47,-68.59,253.15,253.15,10.3,5924351
25,Saint-Philippe,96,RE,1579657140,94,-21.36,55.77,298.15,292.59,1.0,935215
26,Arraial do Cabo,40,BR,1579656870,88,-22.97,-42.03,296.15,296.15,1.5,3471451
27,Walvis Bay,0,NA,1579657140,93,-22.96,14.51,291.48,289.15,1.5,3359638
28,Mitsamiouli,100,KM,1579657140,78,-11.38,43.28,301.72,301.72,11.68,921786
29,Atuona,68,PF,1579657140,74,-9.8,-139.03,300.44,300.44,6.06,4020109
30,Saint-Pierre,100,RE,1579657141,94,-21.34,55.48,298.15,292.59,1.0,935214
31,Oktyabrskiy,100,RU,1579657141,94,54.48,53.47,270.23,270.23,7.52,515879
32,Laas,5,IT,1579656565,73,46.62,10.7,273.71,264.15,1.76,3175096
33,New Norfolk,100,AU,1579656867,30,-42.78,147.06,297.59,293.71,8.7,2155415
